,isocode,period,fatalities_UCDP,population
0,AFG,201001,344.0,27940341.0
1,AFG,201002,536.0,28008755.0
2,AFG,201003,407.0,28077336.0
3,AFG,201004,503.0,28146085.0
4,AFG,201005,502.0,28215003.0
5,AFG,201006,1001.0,28284089.0
6,AFG,201007,751.0,28371232.0
7,AFG,201008,882.0,28458643.0
8,AFG,201009,520.0,28546324.0
9,AFG,201010,766.0,28634275.0
10,AFG,201011,518.0,28722497.0
11,AFG,201012,421.0,28810991.0
12,AFG,201101,524.0,28899757.0
13,AFG,201102,450.0,28988797.0
14,AFG,201103,448.0,29078111.0
15,AFG,201104,553.0,29167700.0
16,AFG,201105,731.0,29257566.0
17,AFG,201106,767.0,29347708.0
18,AFG,201107,884.0,29446871.0
19,AFG,201108,659.0,29546370.0
20,AFG,201109,804.0,29646205.0
21,AFG,201110,677.0,29746377.0
22,AFG,201111,551.0,29846887.0
23,AFG,201112,515.0,29947737.0
24,AFG,201201,362.0,30048928.0
25,AFG,201202,219.0,30150461.0
26,AFG,201203,407.0,30252336.0
27,AFG,201204,647.0,30354557.0
28,AFG,201205,784.0,30457122.0
29,AFG,201206,1157.0,30560034.0
30,AFG,201207,1014.0,30647209.0
31,AFG,201208,886.0,30734633.0
32,AFG,201209,888.0,30822306.0
33,AFG,201210,660.0,30910229.0
34,AFG,201211,451.0,30998403.0
35,AFG,201212,308.0,31086829.0
36,AFG,201301,595.0,31175506.0
37,AFG,201302,381.0,31264437.0
38,AFG,201303,480.0,31353621.0
39,AFG,201304,495.0,31443060.0
40,AFG,201305,1200.0,31532754.0
41,AFG,201306,842.0,31622704.0
42,AFG,201307,1201.0,31718574.0
43,AFG,201308,791.0,31814735.0
44,AFG,201309,782.0,31911187.0
45,AFG,201310,536.0,32007932.0
46,AFG,201311,480.0,32104970.0
47,AFG,201312,348.0,32202302.0
48,AFG,201401,2338.0,32299929.0
49,AFG,201402,468.0,32397852.0
50,AFG,201403,1370.0,32496072.0
51,AFG,201404,538.0,32594590.0
52,AFG,201405,825.0,32693407.0
53,AFG,201406,1074.0,32792523.0
54,AFG,201407,900.0,32877893.0
55,AFG,201408,1159.0,32963486.0
56,AFG,201409,1076.0,33049301.0
57,AFG,201410,842.0,33135340.0
58,AFG,201411,821.0,33221603.0
59,AFG,201412,1138.0,33308091.0
60,AFG,201501,2333.0,33394803.0
61,AFG,201502,1345.0,33481741.0
62,AFG,201503,1046.0,33568906.0
63,AFG,201504,1090.0,33656298.0
64,AFG,201505,1875.0,33743917.0
65,AFG,201506,1485.0,33831764.0
66,AFG,201507,1113.0,33903329.0
67,AFG,201508,1785.0,33975046.0
68,AFG,201509,1993.0,34046915.0
69,AFG,201510,1959.0,34118936.0
70,AFG,201511,854.0,34191108.0
71,AFG,201512,1114.0,34263434.0
72,AFG,201601,1019.0,34335913.0
73,AFG,201602,1428.0,34408545.0
74,AFG,201603,1197.0,34481330.0
75,AFG,201604,1630.0,34554270.0
76,AFG,201605,1917.0,34627364.0
77,AFG,201606,1547.0,34700612.0
78,AFG,201607,1585.0,34781916.0
79,AFG,201608,1875.0,34863411.0
80,AFG,201609,1581.0,34945097.0
81,AFG,201610,3112.0,35026974.0
82,AFG,201611,952.0,35109043.0
83,AFG,201612,876.0,35191304.0
84,AFG,201701,1381.0,35273758.0
85,AFG,201702,1342.0,35356405.0
86,AFG,201703,1995.0,35439246.0
87,AFG,201704,1576.0,35522281.0
88,AFG,201705,1925.0,35605511.0
89,AFG,201706,1012.0,35688935.0
90,AFG,201707,2537.0,35775610.0
91,AFG,201708,2268.0,35862495.0
92,AFG,201709,1690.0,35949591.0
93,AFG,201710,1716.0,36036899.0
94,AFG,201711,1253.0,36124419.0
95,AFG,201712,1081.0,36212152.0
96,AFG,201801,1823.0,36300097.0
97,AFG,201802,1497.0,36388256.0
98,AFG,201803,1511.0,36476630.0
99,AFG,201804,1954.0,36565217.0
100,AFG,201805,2500.0,36654020.0
101,AFG,201806,1773.0,36743039.0
102,AFG,201807,3176.0,36834532.0
103,AFG,201808,2471.0,36926253.0
104,AFG,201809,2427.0,37018203.0
105,AFG,201810,2457.0,37110382.0
106,AFG,201811,2901.0,37202790.0
107,AFG,201812,2399.0,37295428.0
108,AFG,201901,2253.0,37388297.0
109,AFG,201902,1699.0,37481397.0
110,AFG,201903,2410.0,37574729.0
111,AFG,201904,2154.0,37668293.0
112,AFG,201905,2812.0,37762090.0
113,AFG,201906,2734.0,37856121.0
114,AFG,201907,3820.0,37955738.0
115,AFG,201908,2854.0,38055617.0
116,AFG,201909,3526.0,38155759.0
117,AFG,201910,2504.0,38256165.0
118,AFG,201911,1633.0,38356834.0
119,AFG,201912,2036.0,38457769.0
120,AFG,202001,1697.0,38558969.0
121,AFG,202002,2805.0,38660436.0
122,AFG,202003,1190.0,38762169.0
123,AFG,202004,1036.0,38864171.0
124,AFG,202005,1166.0,38966440.0
125,AFG,202006,1478.0,39068979.0
126,AFG,202007,1567.0,39145763.0
127,AFG,202008,1392.0,39222698.0
128,AFG,202009,1778.0,39299784.0
129,AFG,202010,2724.0,39377021.0
130,AFG,202011,1938.0,39454411.0
131,AFG,202012,2063.0,39531952.0
132,AFG,202101,2707.0,39609646.0
133,AFG,202102,2043.0,39687493.0
134,AFG,202103,1774.0,39765492.0
135,AFG,202104,2828.0,39843645.0
136,AFG,202105,4995.0,39921952.0
137,AFG,202106,7662.0,40000412.0
138,AFG,202107,8438.0,40048298.0
139,AFG,202108,5097.0,40096241.0
140,AFG,202109,508.0,40144242.0
141,AFG,202110,234.0,40192300.0
142,AFG,202111,72.0,40240416.0
143,AFG,202112,28.0,40288589.0
144,AFG,202201,42.0,40336820.0
145,AFG,202202,19.0,40385109.0
146,AFG,202203,46.0,40433455.0
147,AFG,202204,372.0,40481859.0
